City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
218,kukawa,12.9234,13.5606,300.08,32,7,4.19,NG,1701040041
219,hotan,37.0997,79.9269,275.79,31,82,0.69,CN,1701040042
220,nordholz,53.7833,8.6,278.2,93,75,2.57,DE,1701040043
221,kontiolahti,62.7602,29.8471,252.12,84,100,1.54,FI,1701040044
222,semnan,35.5729,53.3971,281.11,35,0,0.81,IR,1701040045
223,toliara,-23.35,43.6667,296.54,90,7,2.3,MG,1701040046
224,whitehorse,60.7161,-135.0538,278.2,98,100,3.27,CA,1701040047
225,pisco,-13.7,-76.2167,294.18,73,0,8.23,PE,1701039913
226,labuan bajo,-8.4964,119.8877,300.32,76,100,2.37,ID,1701040048
227,zheleznogorsk-ilimskiy,56.5768,104.1217,250.49,100,65,1.09,RU,1701040049
228,sitka,57.0531,-135.33,282.09,81,100,6.17,US,1701040050
229,simpang,-1.2667,104.0833,296.71,96,100,1.13,ID,1701040051
230,mundgod,14.9667,75.0333,293.98,83,4,3.69,IN,1701040051
231,machali,-34.1833,-70.6667,297.58,54,1,1.94,CL,1701040052
232,ketchikan,55.3422,-131.6461,280.41,93,100,5.66,US,1701040053
233,susuman,62.7833,148.1667,250.72,99,100,2.31,RU,1701040054
234,kilju,40.9642,129.3278,272.79,72,98,0.69,KP,1701040054
235,smithers,54.7804,-127.1743,275.87,92,100,0.69,CA,1701040056
236,gustavia,17.8962,-62.8498,299.88,75,15,2.24,BL,1701040057
237,cambria,35.5641,-121.0808,293.43,64,100,1.34,US,1701040057
238,magistral'nyy,56.1725,107.4458,255.58,90,97,0.61,RU,1701040058
239,tanout,14.9709,8.8879,298.49,20,68,5.46,NE,1701040059
240,villa gesell,-37.2639,-56.973,293.34,61,31,8.06,AR,1701040060
241,ekibastuz,51.6667,75.3667,273.66,50,100,3.77,KZ,1701040061
242,tolanaro,-25.0319,46.9987,296.23,91,5,4.47,MG,1701040061
243,aioun,16.6614,-9.6149,296.92,14,1,4.49,MR,1701040062
244,corner brook,48.9667,-57.9484,272.68,93,100,1.76,CA,1701040063
245,turpan,42.9333,89.1667,275.94,41,22,0.92,CN,1701040064
